Titre,Prix_CFA,Localisation,Nb_Chambres,Nb_Salles_Bain,Surface_m2,Description
Appartement NEUF à Fann Résidence,1700000.0,Fann Dakar,3.0,,200.0,"Nouvelle Résidence à FANN
Nous disposons d'appartements type 3 chamrbes + salon à louer dans une toute nouvelle résidence située à Fann Résidence dans un quartier calme et sécurisé.
Appartements type 3 chambres salon de 200 m2 entièrement climatisés par VRV.
Commodités : Parkings en sous-sol, groupe électrogène, ascenseurs, surpresseur, adoucisseur d'eau, vidéosurveillance."
Dépôt à louer,350000.0,Dakar Dakar,,,150.0,"Dépôt à louer à pikine en face central équipement, non loin de EDK pikine"
Appartement F4 duplex aux Almadies,1300000.0,Almadies Dakar,,3.0,,"F4 duplex, au 2e étage de l'immeuble.
------1er niveau:
grand salon avec balcon
toilette visiteur
cuisine ouverte équipée
------2e niveau :
trois chambres dont deux avec balcon ,
salle de bain et dressing dans la chambre parentale
une toilette commune pour les deux autres chambres
1 place de parking au sous-sol
----- l'immeuble comprend:
2 ascenseurs par niveau,
un service de conciergerie
un service sécurité 24/7.
vidéo surveillance à tous les niveaux
Un jardin
groupe électrogène
compresseur d'eau."
Villa à Louer à fenêtre Mermoz,2600000.0,Fenêtre mermoz Dakar,5.0,,700.0,"C'est une tres belle villa de haut standing, très spacieux et aéré, composé de 5chambres salon cuisine moderne , piscine, grand jardin, double garage à fenêtre mermoz a 3.000.000fcfa/ mois"
Appartement neuf à Dakar plateau,1000000.0,Plateau Dakar,3.0,,,Composé de 3 chambres salon 4 toilettes grand espace familial cuisine équipée niveau 9 étage avec 3 ascenseur et groupe electrogène
Magnifique Appartement Duplex au almadies,300000.0,Almadies Dakar,2.0,2.0,152.0,"Jolie Appartement duplex au almadies derrière phlipp morris pas loin de l'école bilingue Américaine. 2 chambres salon 3 salles d'eau , 1 grande cuisine ouvert , balcon , immeuble calme avec service de gardiennage
Prix: 350.000f
Conditions : 3 mois"
Studio haut standing,30000.0,Avenue Bourguiba Dakar,,1.0,,"🏡 Studio Meublé de Prestige à Louer - Confort, Élégance et Sécurité
📍 Emplacement idéal : [ Rond point Jet d'eau avenu bourguiba
🔑 Description :
Offrez-vous un cadre de vie raffiné dans ce studio haut standing, entièrement équipé pour votre confort absolu, que ce soit pour un séjour de courte ou longue durée.
🛏️ Commodités incluses :
Chambre climatisée avec literie de qualité
Deux salles de bain modernes (invités + principale)
Salon climatisé élégant avec télévision écran plat + Canal
Wi-Fi haut débit illimité pour rester toujours connecté
Cuisine moderne entièrement équipée (micro-ondes, frigo, gaz, ustensiles)
Buanderie privée avec lave-linge et sèche-linge
Résidence sécurisée 24h/24, calme et propre
Service de dictaphone pour vos demandes à distance (services, entretien, etc.)
✅ Points forts :
Hygiène irréprochable
Décoration soignée
Environnement serein et discret
Idéal pour professionnels, couples ou voyageurs exigeants
Electricitee incluse ,
Possibilite de reduction pour un long sejour
📱 WhatsApp : [Votre WhatsApp]
📆 Disponibilité immédiate - visite possible sur rendez-vous"
Apparement à louer Ngor,2000000.0,Ngor Dakar,3.0,,,"🏡 À LOUER - Magnifique appartement avec jardin et piscine privée à Ngor Diarama 🌴
Découvrez ce superbe appartement moderne et raffiné situé dans le quartier recherché de Ngor Diarama, offrant un cadre de vie unique entre confort, intimité et bien-être.
Il se compose de :
🛏️ 3 chambres spacieuses avec placards et salles d'eau
🛋️ Un grand salon lumineux ouvert sur le jardin
🍽️ Une cuisine moderne entièrement équipée
🚿 Toilettes visiteurs
Atouts exceptionnels :
🌿 Jardin privatif idéal pour se détendre ou recevoir
🏊‍♀️ Piscine privée
💪 Salle de sport entièrement équipée
🚗 Parking sécurisé
⚡ Groupe électrogène
🔒 Sécurité 24h/24
📍 Emplacement : Ngor Diarama
Un cadre élégant et paisible, parfait pour ceux qui recherchent le luxe, le confort et la tranquillité à deux pas de la mer."
Appartement Meublé à Louer à Fann Résidence,1800000.0,Fann Dakar,3.0,3.0,259.0,"C'est une très belle appartement meublé de haut standing, très spacieux et aéré, composé de 3 chambres salon , chaque chambre avec salle de bain, cuisine moderne entièrement, piscine, salle de sport, salle d'attente, ascenseur, parking sous, groupe électrogène, sécurité 24h/24h à Fann Résidence à 2.000.000fcfa
List item**
strong text
**
/"
"Immeuble R+4 Neuf à Zac Mbao, sur les deux voies",200000000.0,Zac Mbao Dakar,,,,"📍 Localisation : Zac Mbao, sur les deux voies, 2ème position après Sipres
🏗️ Type : Immeuble R+4 (5 niveaux)
📜 État : Neuf, déjà loué
⚖️ Transaction : Vente devant notaire"
Appartement à Keur Mbaye Fall,200000.0,Zac Mbao Dakar,2.0,,,"📍 Localisation : Keur Mbaye Fall, près de la gare du TER
🛏️ Type : Appartement F3
🏡 Composition
2 chambres avec toilette intérieure
1 salon
1 cuisine
1 toilette visiteur
1 garage"
Maison F3 avec RDC finalisé et fondations pour R+3,65000000.0,Almadies 2 Dakar,2.0,,166.0,"Je mets en vente une maison F3 (2 chambres + salon) de 166 m², avec rez-de-chaussée déjà construit et située dans la cité de la Mutuelle de la Douane à Kounoune (Almadies 2).
Détails du bien :
-166 m²
-Maison F3 : 2 chambres (avec leur salle de bain) + salon + toilette visiteur + cuisine + cours arrière
-Gros œuvre du Rez-de-chaussée achevé
-Fondations prévues pour un immeuble R+3
-Titre foncier collectif
-Plans architecturaux et de génie civil disponibles pour un R+3 à usage locatif
-Réseau de plomberie posée et câblage électrique déjà enterr"
Terrain a vendre aux Almadies,500000000.0,Almadies Dakar,,,500.0,Terrain très bien placé Almadies en face stade Ngor derriere EDK; Près Brioche Dorée;
Appartement vue sur mer,1000000.0,Virage Dakar,3.0,3.0,150.0,"Découvrez notre appartement lumineux de 3 chambres offrant une vue imprenable sur la mer. Idéal pour des séjours en famille ou entre amis, il allie confort et équipements modernes :
• 3 chambres cosy avec literie de qualité
• Cuisine tout équipée
• Salon confortable avec vue mer
• Salle de bain moderne
• Terrasse pour savourer vos repas face à la mer
Réservez dès maintenant ce havre de paix et laissez-vous charmer par le panorama exceptionnel !"
Studio meublé,20000.0,Sicap Liberté Dakar,,1.0,140.0,Je loue un studio bien décoré situé à liberté1 composé de chambre cuisine et toilette.
"Terrain 2075 m² à Nianing, TF individuel, proche mer",75000000.0,Nianing Thiès,,,2075.0,"Rare opportunité sur la Petite Côte !
À vendre : magnifique terrain arboré de 2075 m², avec Titre Foncier, situé dans un environnement paisible à Nianing, à seulement 16 minutes de l'hôtel Riu Baobab (Pointe Sarène), et à quelques pas de la plage des pêcheurs ainsi que de l'Église de l'Épiphanie.
✨ Emplacement stratégique et recherché, proche mer
🌿 Idéal pour un projet résidentiel haut de gamme, une villa de vacances ou un projet éco-touristique
🌴 Quartier calme
📄 ""Titre Foncier individuel"" disponible - sécurité juridique garantie
📞 Pour plus d'informations ou pour organiser une visite, contactez-nous sur WhatsApp maintenant. Une opportunité à ne pas laisser passer!"
Studio à louer - Mermoz (Cité Batrain),225000.0,Mermoz Dakar,,1.0,60.0,"📍 Localisation :
Cité Batrain, en face d'Auchan Mermoz - 2ᵉ étage
🛋️ Composition :
• Chambre principale avec salle de bain
• Salon + cuisine américaine
• Cuisine africaine séparée
✅ Emplacement très recherché
✅ Quartier résidentiel et sécurisé
✅ À 1 min d'Auchan / proche VDN
✨ Idéal pour étudiante étrangère ou jeune professionnel"
Très belle Studio meublé à louer – Mamelles Renaissance,360000.0,Mamelles Dakar,,1.0,70.0,"Studio meublé moderne et élégant, situé à proximité du Monument de la Renaissance Africaine, à quelques minutes de la Corniche, dans un quartier résidentiel calme et recherché.
Localisation
• 15 minutes des Almadies
• 20 minutes du centre-ville
Description
• Chambre climatisée avec salle de bain intérieure et balcon
• Salon climatisé avec balcon, canapé-lit de 3 places convertible et deux fauteuils de une place
• Salle à manger avec table et 4 chaises
• Toilettes visiteurs
Équipements et services
• Cuisine équipée, micro-ondes
• Femme de ménage 3 fois par semaine
• Canal+ et Internet inclus
• Location longue durée
Idéal expatriés et cadres professionnels. Disponible immédiatement."
Splendide Appartement type F4 à louer -Confort et modernité,450000.0,Zone de captage Dakar,3.0,3.0,100.0,"Nous vous proposons en location ce bel appartement spacieux de 3 chambres, idéal pour ceux en quête de confort et de tranquillité. Situé dans une résidence haut de gamme, il bénéficie de prestations modernes et d'un environnement sécurisé.
Détails de l'appartement :
3 chambres lumineuses, parfaites pour accueillir une famille ou un groupe
Grand salon convivial, idéal pour vos moments de détente
Climatisation intégrée dans presque toutes les pièce les pour un confort optimal
2 salles de bain modernes avec finitions de qualité
Cuisine équipée avec électroménagers (réfrigérateur, four, plaques de cuisson, etc.)
Balcon , parfait pour profiter de l'air frais
Avantages de la résidence :
Sécurité 24h/24 avec surveillance et gardien Piscine à disposition des résidents Salle de sport moderne et bien équipée Environnement calme avec espaces verts
À proximité des commerces, écoles et transports, cet appartement est parfait pour une location longue durée.
Ne laissez pas passer cette opportunité ! Contactez-nous dès aujourd'hui pour organiser une visite et découvrir votre futur chez-vous."
Parcelle Viabilisée à Jaxaay. Près terminus 84,9000000.0,Keur Massar Dakar,,,150.0,"📍 Localisation : Jaxaay, à proximité du terminus ligne 84
📐 Superficie : 150 m² par parcelle
✅ Atouts majeurs
Site déjà habité - Quartier vivant et sécurisé
Eau et électricité disponibles - Prêt à construire
Accès facile - Proche transports en commun (terminus 84)
Vente en lot ou à l'unité - Idéal investisseurs ou particuliers"
Appartements à louer,1.0,Sacré-cœur Dakar,4.0,,170.0,"Appartements de 4 chambres dont 3 avec leurs salle d'eau salon avec double balcon cuisine équipée toilette visiteur
Espace familial une toilette extérieur pour la 4eme chambres
Toutes les pièces sont climatisées
Immeuble avec ascenseur groupe électrogène gardiennage H24"
Appartement meublé,35000.0,Sicap Liberté Dakar,1.0,2.0,,"Superbe F3 meublé à liberté 1
Sicap liberté 1 Dakar
DESCRIPTION:
• 1 Chambre parentale avec salle d'eau
• 1 Chambre
• 1 grand séjour avec une belle vue
• 1 cuisine équipée avec des plancards de rangements, table à manger
• Toilette visiteur"
Appartement meublé à louer à Hann Mariste 2,30000.0,Hann maristes Dakar,,2.0,,"APPARTEMMENT MEUBLÉ À HANN-MARISTES 2 :(idéal pour séjour en totale autonomie).
deux chambres climatisées dont une avec toilettes intérieures et chauffe eau,
1 toilette extérieure;
Un salon moderne avec télé +Wi-Fi + canal horizon.
Cuisine équipée: cuisinière à gaz, micro-ondes, bouilloire électrique, frigo no frost, ustensiles.
machine à laver + étendoir et fer à repasser;
Espace familial.
Éclairage avec spots et bandes lumineuses avec choix de couleurs par télécommande.
NUITÉE : 35 000F. Réduction de 15% si personne seule.
Réservation minimale: trois (03) nuitées.
Réduction 15% à partir de la onzième nuitée et 20% à partir de la vingtième nuitée.
Électricité : consommation électrique à la charge de l'occupant avec compteur prépayé. NB: 30kwatt offerts gratuitement.
Service gratuit de nettoyage une fois tous les 3 jours avec changement des draps.
Réglementation :
Sont interdits:
Fêtes et nuisances sonores;
Animal de compagnie ;
Plus de quatre occupants;
NB :Avoir plus de dix-huit (18) ans pour pouvoir réserver.
Les paiements sont faits après réservation et avant la remise des clés.
Les occupants bénéficient d'une entrée privée."
Bonne affaire du l'île de Ngor Terrain 216 m²,60000000.0,Ngor Dakar,,,216.0,"(Dakar)
Île de Ngor traversée
Maison pieds dans l'eau 216 mètres carrés à démolir pied dans l'eau à ngor papier acte de peines et soins vente devant notaire bon pour tout type de projet."
Superbe terrain TITRE FONCIER INDIVIDUEL À BAMBILOR,17000000.0,Bambilor Dakar,,,250.0,"Construisez votre maison familiale en toute tranquillité nous vous offrons un magnifique terrain de 250m2 à vendre cité Bicis
Titre foncier individuel
Prix 17 millions
Papier: Titre foncier individuel"
Studio meublé à louer à Hann Maristes,25000.0,Hann maristes Dakar,,1.0,,"Détails
Chambre 1
Séjour 1
Toilettes 2
Cuisine 1
Buanderie 1
STUDIO MEUBLÉ À HANN-MARISTES : (idéal pour séjour en totale autonomie). - Une chambre à coucher climatisée avec toilettes intérieures et chauffe eau + armoire et coiffeuse ; Un salon moderne avec télé connectée, canal + et Wifi; - toilettes visiteurs ; - Cuisine équipée: cuisinière à induction, micro-ondes, bouilloire électrique, frigo + ustensiles. - buanderie avec machine à laver ; + étendoir ; fer à repasser. Éclairage avec spots et bandes lumineuses avec 8 choix de couleurs par télécommande. Réduction de 10% si personne seule. Réduction 15% à partir de la onzième nuitée et 20% à partir de la vingtième nuitée. Électricité :consommation électrique à la charge de l'occupant. compteur prépayé. 20kwatt offerts gratuitement à l'entrée si le séjour est supérieur à trois jours. Service gratuit de nettoyage une fois tous les 3 jours avec changement des draps. Réglementation: Sont interdits : * Fêtes et nuisances sonores; * Animal de compagnie ; * Plus de deux occupants. Les paiements sont faits après réservation et avant la remise des clés. - Les occupants bénéficient d'une entrée privée."
3 APPARTEMENTS F4 À LOUER AUX MAMELLES,550000.0,Mamelles Dakar,3.0,3.0,150.0,"Situés dans un quartier prisé et proches de toutes les commodités, ces appartements F4, sur un terrain de 150m² et avec une surface utile de 130m² offrent un espace de vie lumineux et fonctionnel. Idéal aussi bien pour un couple que pour une petite famille, ils allient confort et praticité grâce à sa proximité avec les commerces, les écoles et les transports en commun.
Pièces :
1 séjour spacieux et lumineux de 26 m² ;
3 chambres équipées chacune de sa propre salle de bain contemporaine ;
1 espace familial ;
1 toilette visiteur conviviale ;
1 cuisine moderne, meublée et équipée ;
1 local magasin/bureau ;
1 balcon.
Équipements :
Climatisation du séjour et de la chambre principale ;
Chauffe eau alimentant toutes les salles de bain ;
Volets roulants au balcon et dans la chambre principale ;
Plaque de cuisson, micro-onde, four et hotte aspirante à la cuisine ;
Extraction et renouvellement d'air dans toutes les chambres et toilettes ;
Interrupteurs tactiles dans le séjour et dans l'espace familiale ;
Réservoir d'eau privé de 1 000 litres avec suppresseur ;
Bâche à eau commune de secours de 6 000 litres ;
Vidéophone pouvant actionner le portail d'entré de l'immeuble.
Sécurité :
Contrôle d'accès avec badge RFID ;
Vidéosurveillance 24/24 de la devanture de l'immeuble, des escaliers et de la terrasse ;
Sécurité incendie ;
Gardiennage de nuit ;
Clôture électrique."
Terrain 100 hectares a vendre diass,25000.0,Diass Thiès,,,,"Terrain diass 100 hectares titre foncier diass
25000f/M2"
F4 à vendre aux virages 7 ème étage 172m²,280000000.0,Virage Dakar,3.0,4.0,172.0,"RÉSIDENCE AQUANIQUE
VIRAGE A VENDRE
Appartement F4 grand standing avec Vue sur Mer
Composée de 3 chambres Salon et 1 Chambre Domestique 4 salles d'eau 1 toilette Visiteurs Cuisine Entièrement Équipé chauffe-eau zone très calme accessible Résidence sécurisé H/24 avec Ascenseur Piscine salle de Sport Salle Polyvalente Salle de Réunion Espace de Détente"
Appartement neuf et spacieux a Ngor Almadies,135000000.0,Almadies Dakar,,3.0,200.0,"Vivez au cœur de la ville dans ce superbe appartement neuf, idéal pour profiter d'un cadre de vie moderne et confortable en plein coeur du quartier bouillonant des Almadies! Parfait pour ceux qui recherchent un espace lumineux et bien agencé, ce logement répondra à toutes vos attentes.
• Type : Appartement
• État : Neuf, jamais habité
• Surface : Spacieuse avec balcon
• Emplacement : En plein Ngor-Almadies, proche de toutes commodités.
Cet appartement est en excellent état, avec une finition soignée et des matériaux de qualité. L'agencement optimisé offre un confort optimal au quotidien. C'est une opportunité rare d'acquérir un bien prêt à vivre dans un secteur très recherché.
Ne laissez pas passer cette chance unique ! Contactez-nous dès maintenant pour organiser une visite et découvrir votre futur chez-vous."
Appartement meublé haut Standing à louer aux Almadies,1900000.0,Almadies Dakar,2.0,,,"Appartement meublé grand standing à louer aux Almadies
5ème étage avec vue panoramique
Appartement lumineux salon, salle à manger avec cuisine américaine équipée
1 suite master avec dressing et salle de bain
2 chambres avec salles de bain
1 hall d'entrée avec 1 toilette visiteur
1 place de parking sécurisée réservée
Piscine
Salle de sports"
APPARTEMENT F4 NEUF HAUT STANDING POINT E,1200000.0,Point-e Dakar,3.0,3.0,192.0,"Grand Appartement de haut standing neuf de 192m2 de type F4 situé au Point E au 3e étage composé de 3 chambres avec salle d'eau chacune + dressing, 1 salon, cuisine équipée avec buanderie et toilette, wc extérieur
Commodités
Ascenseur
Piscine
Salle de sport
Parking souterrain
Prix légèrement négociable"
Terrain d'angle TF à vendre Zac Mbao en face à Péage,48000000.0,Zac Mbao Dakar,,,200.0,"Terrain d'angle à vendre Zac Mbao en face Autoroute à Péage sortie 9 Titre foncier
Zac Mbao Dakar à 45 000 000 FCFA
Terrain de 200m2 angle . terrain d'angle en face de l'Autoroute à péage Zac Mbao Eau, électricité, téléphone, route bitumée. De très belles maisons déjà construites et habitées.
Proximité: Auchan Zac Mbao, cité Sonatel, SIPRES, Almadies 2, Keur massar, Keur Mbaye fall, Diamniadio (3km).
Ecoles, commerces
NB nous avons des terrains pour habitation ou coopérative délibération, Bail ou TF dans les quartiers suivant VDN3 Guédiawaye, Malicka, Bambilor, lac rose, Niakirate, keur massar, Zac Mbao"
Terrains à vendre,10000000.0,Keur Massar Dakar,,,150.0,"Des terrains à vendre,juste à côté de la nouvelle cité érigée sur l'emplacement de Tol Abdoulaye Wade,entre fin keur MASSAR et début cité Apix de Tivaouane peul. Un très bon emplacement. Les terrains sont non loin de la nouvelle station d'essence MKA de la cité. PAPIER : délibération"
Joli 2 chambres salon cite keur gorgui vdn,35000.0,Sacré-cœur Dakar,2.0,2.0,100.0,"Joli appartement meublé à la cité keur gorgui. Composé de 2 chambres, salon, cuisine, toilettes. Appartement au 6 iem et 7iem etages (immeuble avec ascenseur) wifi, tv+cable, eau-chaude, climatisation, gardiennage 24x7.
Service de ménage 3 fois par semaine.
Possibilité de forfait pour les longs séjours.
Électricité à la charge du preneur."
Vente de terrains de 150m2 près du Lac rose,3500000.0,vdn 3 Dakar,,,150.0,"LOGEZ-VOUS SARL vous offre un cadre de vie unique proche de la mer :
50 terrains de 150m2 à Deni Sud dans la Commune de Bambilor (Département de Rufisque, Région de Dakar)
Situation : entre le Lac Rose et la mer, à 500m de la VDN3 et 500m de Génération Foot.
Le site est situé à 40 minutes de Dakar, à 5 minutes du Lac Rose et à 35 minutes de l'Aéroport International Blaise Diagne.
Le site est déjà habité : eau, électricité et téléphone
Infrastructures publiques proches : écoles, marché, district sanitaire, pharmacie, mosquée, chapelle,
Nature du titre : délibération en quatre semaines"
Duplex F 4 à vendre à Fann résidence de haut standing,640000000.0,Fann Dakar,,,,"Un très beau duplex F4 à vendre à Fann résidence de haut standing rénover tout neuf
Cuisine entièrement équipée : frigo micro-ondes gaz four plaque....
Rdc Double salon salle à manger vue mer grande terrasse vue dégagée
Grand terrasse privée vue sur mer
Vue dégagée 300 mètres carrés
Partie nuit :
Suite parentale avec dressing plus salle d'eau très moderne vue sur mer grande terrasse
Les deux chambres des enfants partage la même toilette , douche des enfants très grand
Toilette visiteurs
Commodité : piscine salle de sport 🏈 plage groupe électrogène parking
Sécurité 24 sur 24"
Terrain a vendre sur la VDN 3,10000000.0,vdn 3 Dakar,,,,"A vendre
VDN 3 CORNICHE,entre fin Malika et début tivaouane peul,juste après le château d'eau de la vdn un bailleur vous propose un site en face des deux voies de la corniche. Des terrains bien placés à 25 min maxi de Dakar centre ville via la corniche. Nature juridique : délibération."
Tres joli appartement à SOTRAC Mermoz,650000.0,Mermoz Dakar,3.0,3.0,130.0,"Nous louons un joli appartement 0 SOTRAC MERMOZ comprement :
3 chambres avec un salon tout climatisé;
3 Salles de bain
Appartement aéré, lumière du jour, climatisation déjà installée
Agent de sécurité 24h/24,
Usage : bureau ou habitation
Prix : 650 000 FCFA HT
NB nous avons des appartement pour habitation ou bureau aux mamelles, Sicap, mermoz, keur gorgui, Centre ville, fann résidence, Point E
N"
Très joli appartement à louer au Point E,800000.0,Point-e Dakar,3.0,3.0,240.0,"Point E : nous louons un très bel et grand appartement de 240m2 au Rez-de-Chaussée dans un immeuble neuf comprenant un grand salon, 3 chambres, 2 Salles de bain, 1 toilette, une cuisine, une cour arrière. Appartement aéré, lumière du jour, climatisation déjà installée
Agent de sécurité 24h/24, Vidéosurveillance,
Usage : bureau ou habitation
Prix : 900 000 FCFA
Disponibilité: à partir du 20 Décembre 2025"
Magnifique appartment F4 à SOTRAC MERMOZ,1000000.0,Mermoz Dakar,3.0,3.0,198.0,"Trés joli appartement Standing F4 à louer à SOTRAC MERMOZ composé de:
3 chambres avec rangement
1 grand salon avec balcon et vue sur la mer
5 salles de bain
1 cuisine
Appartement aéré, lumière du jour, climatisation déjà installée
Agent de sécurité 24h/24, Vidéosurveillance,
disponibilité 3eme et 7éme étage
NB nous avons des appartement pour habitation ou bureau aux mamelles, Sicap, mermoz, keur gorgui, Centre ville, fann résidence, Point E"
Bel appartement F2 Cité Sonatel Zac Mbao,200000.0,Zac Mbao Dakar,,2.0,,"Nous louons un très joli appartement neuf à cité SONATEL ZAC MBAO:
Deux chambres
un salon,
une cuisine,
2 salles de bain"
À vendre appartement f2 rez-de-chaussée,55000000.0,Liberte 6 Dakar,,1.0,57.0,"À vendre 1 appartement f2 rez-de-chaussée meublé ngor almadie plus précisément zone de recasement derrière la station EDEN à 5 minutes de la mer de virage
Commodité
ascenseur salle de sport vue mer à la terrasse conciergerie"
APPARTEMENT F4 VUE MER Almadies,800000.0,Almadies Dakar,3.0,3.0,190.0,"🌊 À LOUER - APPARTEMENT CLIMATISÉ F4 VUE MER
📍 Almadies - Immeuble ATLANTIS
Vivez le confort haut standing à l'Immeuble ATLANTIS, au 4ᵉ étage, avec une superbe vue sur l'océan. Cet appartement F4 comprend 3 chambres avec salles de bain, un salon lumineux avec balcon vue mer, une toilette visiteurs, un espace familial idéal pour bureau ou détente, et une cuisine moderne avec dépendance ménagère.
🛠️ Commodités : ascenseur, parking réservé, gardiennage 24h/24."
"Terrain 1,3 Ha à louer à Diass",8000000.0,Diass Thiès,,,0.0,"Terrain d'1,3 Ha à louer idéalement placé sur la route des cimenteries du Sahel.
Tres accessible à 5 minutes de l'aéroport."
Studio meublé,35000.0,Sicap Sacré-cœur Dakar,,1.0,100.0,"Je loue un beau studio meublé bien équipé , avec une petite terrasse (eau chaude, clim, micro-ondes, plaque 4 feu , machine à laver , canapé Clic Clac) Abonnement Wifi Canal Femme de ménage 3x semaine Gardiennage H24. L'immeuble est très sécurisé et calme."
Hangar centre ville à louer,5000.0,Dakar Dakar,,,0.0,Louons 1000m2 de hangar 7m hauteur bien étanche avec une toiture entièrement refaite mezanin et aire de déchargement avec des Vigiles et cameras de surveillances à 1km de l'entrée principale du Port entre Av. Lamine Gueye avant Petersen
Studio meublé à louer,25000.0,Liberte 6 extension Dakar,,1.0,50.0,"Nous mettons en location un studio meublé, chambre climatisée, salon climatisé, toilette, cuisine équipée,WiFi, canal, femme de ménage, gardien 24h. À liberté 6 extension ,derrière immeuble Ferdinand Coly
ATTENTION ON NE LOUE PAS DE ""PASSE"",Ni 1 SEUL JOUR,Ni 2.
MINIMUM 3 JOURS."
F2 cosy piscine sport corniche,673400.0,Ouakam Dakar,1.0,1.0,52.0,"APPARTEMENT MEUBLÉ DE TYPE F2 A LOUER
📍OUAKAM en face de Utile
Descriptif :
▫️2e étage
▫️1 grand salon
▫️1 chambre avec salle de bain et dressing
▫️1Wc visiteur
Commodités : ascenseur, piscine, salle de sport, salle polyvalente, parking
Iptv et wifi
Superficie : 52m2
A seulement 5 min de la Corniche - 15min à pieds de l'école Jean Mermoz
Location à prix spécial longue durée (6 mois et plus) : 673.400FCFA TTC/mois
Conditions : 3 mois
Possibilité pour des courtes durées à 40.000fcfa / nuit minimum 4 nuitées"
Appartement F3 à louer au Virage,400000.0,Virage Dakar,,,,"Nous vous proposons un appartement F3 à louer au virage au 1er étage d'un immeuble sécurisé avec ascenseur et surpresseur très accessible sur la route composé de :
Une chambre principale avec SDB et débarras
Une chambre secondaire avec SDB
Un grand salon
Une toilette visiteurs avec buanderie
Une Cuisine aménagée
Un espace familial
À 400.000 fcfa le mois"
Appartement F4 à vendre à Liberté 1,130000000.0,Liberte 1 Dakar,3.0,3.0,,"À Vendre
APPAREMMENT F4 À LIBERTÉ 1 Dernière SCORE LiBERTE
A deux pas de avenue bourguiba
Emplacement stratégique et très accessible
Une véritable opportunité à saisir!
proche de toutes les commodités école commerce transports Brt
caractéristiques
superficie 174 m2
3 chambres
3 salles de bain plus visiteur
cuisine entièrement équipée
2 balcon
situé au 7 eme étage avec ascenseur parking
prix: 130 000 000(cent trente) million reste que de petites finitions"
Appartement moderne style américain,310000.0,Ngor Dakar,2.0,2.0,120.0,Louer cet appartement lumineux climatisé supermoderne style européen au 4e étage composé de 2 chambres 2 salles de bains une cuisine américaine avec salon et petite terrasse.
Splendide Studio Meublé à Keur Massar,17000.0,Keur Massar Dakar,,1.0,38.0,"Appartement moderne et confortable près de la Mosquée Cité Gendarmerie 2
Offrez-vous un séjour agréable dans cet appartement situé dans un quartier résidentiel calme et sécurisé à Dakar. Idéal pour des séjours de courte ou longue durée, il combine élégance, confort et fonctionnalité.
Caractéristiques de l'appartement
Chambres accueillantes : Entièrement meublées, climatisées et équipées pour votre bien-être.
Équipements modernes : Télévision Smart avec accès à des plateformes de streaming et des chaînes internationales, cuisine équipée avec réfrigérateur, micro-ondes et ustensiles complets.
Salle de bain soignée : Eau chaude disponible, avec des serviettes fraîches et impeccables.
Services inclus pour un confort optimal
Nettoyage quotidien avec changement de linge.
Sécurité assurée 24h/24 grâce à un gardien sur place.
Parking privé pour une tranquillité supplémentaire.
Un emplacement stratégique pour tous vos besoins
Cet appartement est situé à proximité immédiate de la Mosquée Cité Gendarmerie 2, dans un environnement pratique et bien desservi :
Restauration à emporter : Une variété de restaurants à proximité pour savourer vos repas préférés chez vous.
Salle de sport : À quelques pas pour maintenir votre forme physique.
Services essentiels : Pharmacies et commerces locaux accessibles à pied.
Station-service et hôpital à proximité : Pour une commodité et une tranquillité d'esprit supplémentaires.
Ce logement, situé dans un immeuble moderne et discret, est parfait pour ceux qui recherchent calme, intimité et commodités haut de gamme. Contactez-nous dès aujourd'hui pour réserver ou découvrir d'autres options disponibles dans le même immeuble !"
Appartement très Lumineux à vendre,135000000.0,Point-e Dakar,,3.0,180.0,"Je travaille dans une entreprise Turque spécialisée dans la construction d'Appartements haut standing, de Villas, d'Immeuble sur Dakar et Saly.
Ils importent des matériaux haut de gamme venant de la Turquie, d'Italie et d'Allemagne.
Nos appartements F2,F3,F4 à vendre sont situés dans les coins stratégiques de Dakar entre :
Almadies
Sacré cœur 1 (zone résidentielle )
Point E
Mamelles
Liberté 4 ( Dernier F4 dispo)
Mermoz
Bourguiba
Sacré cœur 3, Liberté 3, ...
Des espaces commerciaux et des plateaux de bureau son à vendre aussi
Nos résidences sont composés de :
PISCINE
SAUNA
SALLE DE SPORT
PARKING SOUS SOL
CONCIERGERIE
ASCENSEUR
GARDIEN
GROUPE ÉLECTROGÈNE
BÂCHE A EAU
N'hésitez pas à me contacter pour faire une visite"
Villa à vendre à Nguerigne,310000000.0,Nguering Thiès,,,400.0,"Votre agence immobilière Keur Nico vous propose à la vente une villa implantée sur un très beau terrain de 1400 m².
Vendue meublée, cette villa se compose d'un bâtiment principal offrant trois chambres climatisées, un beau salon lumineux avec cuisine ouverte, pensé pour le confort et la convivialité.
Une annexe indépendante vient compléter l'ensemble avec salle d'eau , idéale pour recevoir ou pour un espace privé supplémentaire.
À l'extérieur, une pool house agrémente parfaitement l'espace piscine, dans un cadre agréable et bien aménagé.
La situation est un véritable atout :
À seulement 5 minutes de Saly Center, tout proche de l'Allée des Milliardaires, et à proximité immédiate du goudron menant à l'autoroute. Un emplacement stratégique, pratique au quotidien et recherché.
Une villa bien placée, fonctionnelle, agréable à vivre, aussi pertinente pour une résidence principale que pour un investissement locatif.
📜 Titre de propriété : délibération
📐 Surface du terrain : 1400 m"
